Address,formatted_address,Lat,Lon
8TH ST AND INDEPENDENCE AVE, SE washington dc,Independence Ave SE &amp; 8th St SE. Washington. DC 20003. USA,38.887594,-76.994962
15TH ST AND R ST, NW washington dc,15th St NW &amp; R St NW. Washington. DC 20009. USA,38.9126048,-77.0345334
19TH ST AND S ST, NW washington dc,S St NW &amp; 19th St NW. Washington. DC 20009. USA,38.91409040000001,-77.043442
7TH ST AND Q ST, NW washington dc,Q St NW &amp; 7th St NW. Washington. DC 20001. USA,38.9111201,-77.0219292
8TH ST AND E ST, NE washington dc,8th St NW &amp; E St NW. Washington. DC 20004. USA,38.8961294,-77.0229749
4TH ST AND G ST, SW washington dc,G St SW &amp; 4th St SW. Washington. DC 20024. USA,38.881284,-77.01755899999999
3RD ST AND E ST, NW washington dc,3rd St NW &amp; E St NW. Washington. DC 20001. USA,38.896134,-77.01516749999999
2ND ST AND G ST, NE washington dc,2nd St SW. Washington. DC. USA,38.8678118,-77.0136756
COLUMBUS CIR AND MASSACHUSETTS AVE, NE washington dc,Columbus Circle Northeast &amp; Massachusetts Ave NE. Washington. DC 20544. USA,38.8959429,-77.00526190000001
2ND ST AND G ST, NE washington dc,2nd St SW. Washington. DC. USA,38.8678118,-77.0136756
15TH ST AND R ST, NW washington dc,15th St NW &amp; R St NW. Washington. DC 20009. USA,38.9126048,-77.0345334
COLUMBUS CIR AND MASSACHUSETTS AVE, NE washington dc,Columbus Circle Northeast &amp; Massachusetts Ave NE. Washington. DC 20544. USA,38.8959429,-77.00526190000001
12TH ST AND INDEPENDENCE AVE, SW washington dc,12th St SW &amp; Independence Ave SW. Washington. DC 20560. USA,38.88757,-77.0279533
8TH ST AND NORTH CAROLINA AVE, SE washington dc,North Carolina Ave SE &amp; 8th St SE. Washington. DC 20003. USA,38.8878926,-76.99495999999999
17TH ST AND Q ST, NW washington dc,Q St NW &amp; 17th St NW. Washington. DC 20036. USA,38.911116,-77.03849029999999
7TH ST AND D ST, SE washington dc,7th St SE &amp; D St SE. Washington. DC 20003. USA,38.8837347,-76.9961813
COLUMBUS CIR AND MASSACHUSETTS AVE, NE washington dc,Columbus Circle Northeast &amp; Massachusetts Ave NE. Washington. DC 20544. USA,38.8959429,-77.00526190000001
15TH ST AND R ST, NW washington dc,15th St NW &amp; R St NW. Washington. DC 20009. USA,38.9126048,-77.0345334
8TH ST AND G ST, NE washington dc,G St NE &amp; 8th St NE. Washington. DC 20002. USA,38.89890630000001,-76.994961
1ST ST AND M ST, NE washington dc,M St NE &amp; First St NE. Washington. DC 20002. USA,38.905645,-77.0058775
7TH ST AND INDEPENDENCE AVE, SW washington dc,7th St SW &amp; Independence Ave SW. Washington. DC 20597. USA,38.8875679,-77.021906
4TH ST AND INDEPENDENCE AVE, SW washington dc,4th St SW &amp; Independence Ave SW. Washington. DC 20024. USA,38.8875575,-77.01755279999999
17TH ST AND Q ST, NW washington dc,Q St NW &amp; 17th St NW. Washington. DC 20036. USA,38.911116,-77.03849029999999
NEW HAMPSHIRE AVE AND R ST, NW washington dc,New Hampshire Ave NW &amp; R St NW. Washington. DC 20009. USA,38.9126162,-77.04065829999999
19TH ST AND DUPONT CIR, NW washington dc,Dupont Cir NW &amp; 19th St NW. Washington. DC 20036. USA,38.909042,-77.04362019999999
4TH ST AND INDEPENDENCE AVE, SE washington dc,4th St SE &amp; Independence Ave SE. Washington. DC 20003. USA,38.887599,-77.00057699999999
4TH ST AND EAST CAPITOL ST, BN washington dc,4th St SE &amp; E Capitol St SE. Washington. DC 20003. USA,38.8898071,-77.00057679999999
1ST ST AND M ST, NE washington dc,M St NE &amp; First St NE. Washington. DC 20002. USA,38.905645,-77.0058775
4TH ST AND INDEPENDENCE AVE, SW washington dc,4th St SW &amp; Independence Ave SW. Washington. DC 20024. USA,38.8875575,-77.01755279999999
15TH ST AND M ST, NW washington dc,15th St NW &amp; M St NW. Washington. DC 20005. USA,38.9056496,-77.03456729999999
13TH ST AND M ST, NW washington dc,M St NW &amp; 13th St NW. Washington. DC 20005. USA,38.9056471,-77.0296254
21ST ST AND M ST, NW washington dc,21st St NW &amp; M St NW. Washington. DC 20036. USA,38.9056284,-77.04664679999999
