Address,formatted_address,Lat,Lon
17TH ST AND R ST, NW washington dc,R St NW &amp; 17th St NW. Washington. DC 20009. USA,38.9126025,-77.0384746
17TH ST AND R ST, NW washington dc,R St NW &amp; 17th St NW. Washington. DC 20009. USA,38.9126025,-77.0384746
9TH ST AND Q ST, NW washington dc,Q St NW &amp; 9th St NW. Washington. DC 20001. USA,38.9111266,-77.02397270000002
8TH ST AND G ST, NE washington dc,G St NE &amp; 8th St NE. Washington. DC 20002. USA,38.89890630000001,-76.994961
4TH ST AND I ST, SW washington dc,I St SW &amp; 4th St SW. Washington. DC 20024. USA,38.8792973,-77.01754439999999
6TH ST AND H ST, NW washington dc,H St NW &amp; 6th St NW. Washington. DC 20001. USA,38.899811,-77.01991
6TH ST AND G ST, NE washington dc,G St NE &amp; 6th St NE. Washington. DC 20002. USA,38.898916,-76.9984416
6TH ST AND G ST, NE washington dc,G St NE &amp; 6th St NE. Washington. DC 20002. USA,38.898916,-76.9984416
15TH ST AND Q ST, NW washington dc,Q St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9111183,-77.03454359999999
4TH ST AND INDEPENDENCE AVE, SW washington dc,4th St SW &amp; Independence Ave SW. Washington. DC 20024. USA,38.8875575,-77.01755279999999
11TH ST AND C ST, NE washington dc,11th St NE &amp; C St NE. Washington. DC 20002. USA,38.893579,-76.99153299999999
15TH ST AND Q ST, NW washington dc,Q St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9111183,-77.03454359999999
2ND ST AND G ST, NE washington dc,2nd St SW. Washington. DC. USA,38.8678118,-77.0136756
1ST ST AND K ST, NW washington dc,1st St NW &amp; K St NW. Washington. DC 20001. USA,38.902511,-77.0121565
9TH ST AND INDEPENDENCE AVE, SW washington dc,9th St SW &amp; Independence Ave SW. Washington. DC 20560. USA,38.88757460000001,-77.0242437
18TH ST AND S ST, NW washington dc,18th St NW. Washington. DC. USA,38.9201407,-77.0418378
NEW HAMPSHIRE AVE AND T ST, NW washington dc,T St NW &amp; New Hampshire Ave NW. Washington. DC 20009. USA,38.91558029999999,-77.0378968
16TH ST AND M ST, NW washington dc,M St NW &amp; 16th St NW. Washington. DC 20036. USA,38.9056513,-77.03659549999999
15TH ST AND M ST, NW washington dc,15th St NW &amp; M St NW. Washington. DC 20005. USA,38.9056496,-77.03456729999999
25TH ST AND M ST, NW washington dc,25th St NW &amp; M St NW. Washington. DC 20037. USA,38.905255,-77.05329739999999
7TH ST AND K ST, NE washington dc,7th St NE &amp; K St NE. Washington. DC 20002. USA,38.902512,-76.996164
5TH ST AND K ST, NW washington dc,5th St NW &amp; K St NW. Washington. DC 20001. USA,38.9025277,-77.0189305
16TH ST AND V ST, NW washington dc,V St NW &amp; 16th St NW. Washington. DC 20009. USA,38.9181195,-77.0365005
14TH ST AND R ST, NW washington dc,R St NW &amp; 14th St NW. Washington. DC 20009. USA,38.9126061,-77.0319494
WISCONSIN AVE AND VEAZEY ST, NW washington dc,Veazey St NW &amp; Wisconsin Ave. Washington. DC 20016. USA,38.9439534,-77.0774697
15TH ST AND Q ST, NW washington dc,Q St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9111183,-77.03454359999999
3RD ST AND M ST, NE washington dc,M St NE &amp; 3rd St NE. Washington. DC 20002. USA,38.905645,-77.0020366
18TH ST AND FLORIDA AVE, NW washington dc,18th St NW. Washington. DC. USA,38.9155764,-77.0416496
CONNECTICUT AVE AND L ST, NW washington dc,L St NW &amp; Connecticut Ave NW. Washington. DC 20036. USA,38.9037436,-77.0399082
17TH ST AND Q ST, NW washington dc,Q St NW &amp; 17th St NW. Washington. DC 20036. USA,38.911116,-77.03849029999999
11TH ST AND EAST CAPITOL ST, BN washington dc,11th St NE &amp; East Capitol St NE. Washington. DC 20002. USA,38.8900624,-76.99152810000001
CONNECTICUT AVE AND DUPONT CIR, NW washington dc,Dupont Cir NW &amp; Connecticut Ave NW. Washington. DC 20036. USA,38.910265,-77.0433319
17TH ST AND P ST, NW washington dc,P St NW &amp; 17th St NW. Washington. DC 20036. USA,38.909644,-77.0384911
7TH ST AND P ST, NW washington dc,P St NW &amp; 7th St NW. Washington. DC 20001. USA,38.9096388,-77.0219262
15TH ST AND RHODE ISLAND AVE, NW washington dc,15th St NW &amp; Rhode Island Ave NW. Washington. DC 20005. USA,38.9079272,-77.03455989999999
2ND ST AND H ST, NW washington dc,2nd St NW &amp; H St NW. Washington. DC 20529. USA,38.9001855,-77.01366329999999
15TH ST AND Q ST, NW washington dc,Q St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9111183,-77.03454359999999
15TH ST AND O ST, NW washington dc,O St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9087014,-77.0345566
FLORIDA AVE AND T ST, NW washington dc,T St NW &amp; Florida Ave NW. Washington. DC 20001. USA,38.915733,-77.02067509999999
15TH ST AND Q ST, NW washington dc,Q St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9111183,-77.03454359999999
17TH ST AND P ST, NW washington dc,P St NW &amp; 17th St NW. Washington. DC 20036. USA,38.909644,-77.0384911
COLUMBIA RD AND ONTARIO RD, NW washington dc,Ontario Rd NW &amp; Columbia Rd NW. Washington. DC 20009. USA,38.9243697,-77.0401583
15TH ST AND L ST, NW washington dc,L St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9037458,-77.0345694
